kind,key,matches,wins,win_rate
hero,ringmaster,2991,1445,0.483116
ability,warlock_fatal_bonds,4345,2099,0.483084
ability,batrider_flaming_lasso,2834,1369,0.483063
ability,rattletrap_hookshot,3532,1706,0.483012
hero,viper,4063,1962,0.482894
ability,marci_grapple,2919,1409,0.482700
ability,meepo_ransack,2444,1179,0.482406
ability,shadow_shaman_ether_shock,2927,1412,0.482405
hero,bristleback,2834,1367,0.482357
hero,nyx_assassin,4302,2075,0.482334
ability,lone_druid_savage_roar,1605,774,0.482243
hero,doom_bringer,3347,1614,0.482223
ability,kez_ravens_veil_ad,1711,825,0.482174
ability,pudge_flesh_heap,1541,743,0.482154
ability,marci_companion_run,3665,1767,0.482128
ability,doom_bringer_devour,4653,2243,0.482055
hero,crystal_maiden,3245,1564,0.481972
ability,witch_doctor_death_ward,4542,2189,0.481946
ability,abaddon_frostmourne,4666,2248,0.481783
ability,storm_spirit_overload,3702,1783,0.481632
ability,obsidian_destroyer_astral_imprisonment,4282,2062,0.481551
ability,brewmaster_cinder_brew,3192,1537,0.481516
ability,wisp_overcharge,4351,2095,0.481499
ability,necrolyte_death_pulse,4184,2013,0.481119
ability,kez_raptor_dance,1873,901,0.481046
ability,medusa_split_shot,4552,2189,0.480888
ability,largo_amphibian_rhapsody,1381,664,0.480811
ability,leshrac_lightning_storm,2261,1087,0.480761
ability,terrorblade_sunder,4434,2131,0.480604
ability,ogre_magi_ignite,3196,1536,0.480601
ability,slark_saltwater_shiv,4041,1941,0.480327
hero,lion,3832,1840,0.480167
ability,life_stealer_infest,4444,2133,0.479973
ability,chen_divine_favor,1294,621,0.479907
ability,bounty_hunter_track,4599,2207,0.479887
ability,magnataur_shockwave,4325,2075,0.479769
ability,bounty_hunter_jinada,4514,2165,0.479619
hero,kez,3355,1609,0.479583
ability,nyx_assassin_vendetta,4838,2320,0.479537
hero,muerta,4406,2112,0.479346
ability,pangolier_swashbuckle,4573,2192,0.479335
ability,hoodwink_sharpshooter,3715,1780,0.479139
ability,nevermore_shadowraze2,3144,1505,0.478690
hero,necrolyte,4332,2073,0.478532
ability,morphling_adaptive_strike_agi,2140,1024,0.478505
ability,luna_lucent_beam,4339,2076,0.478451
ability,alchemist_acid_spray,4143,1982,0.478397
ability,windrunner_powershot,4266,2040,0.478200
ability,lone_druid_spirit_link,2957,1413,0.477849
hero,disruptor,3399,1624,0.477788
ability,warlock_upheaval,2539,1213,0.477747
ability,sniper_assassinate,4708,2247,0.477273
ability,necrolyte_reapers_scythe,4768,2273,0.476720
ability,pugna_life_drain,4165,1985,0.476591
ability,elder_titan_earth_splitter,2607,1241,0.476026
hero,mirana,4425,2106,0.475932
ability,brewmaster_thunder_clap,2470,1175,0.475709
ability,pugna_nether_blast,4177,1986,0.475461
ability,ringmaster_tame_the_beasts,3374,1604,0.475400
ability,phoenix_fire_spirits,2525,1200,0.475248
hero,ember_spirit,3988,1895,0.475176
ability,phantom_assassin_coup_de_grace,4666,2217,0.475139
ability,beastmaster_summon_raptor,2229,1059,0.475101
hero,storm_spirit,4025,1912,0.475031
ability,venomancer_snakebite,2579,1225,0.474990
ability,naga_siren_song_of_the_siren,2359,1120,0.474777
hero,winter_wyvern,3341,1585,0.474409
ability,drow_ranger_wave_of_silence,3613,1714,0.474398
hero,oracle,3192,1514,0.474311
hero,beastmaster,3645,1728,0.474074
hero,ancient_apparition,4264,2021,0.473968
ability,rubick_arcane_supremacy,4484,2125,0.473907
ability,gyrocopter_call_down,2674,1267,0.473822
ability,medusa_gorgon_grasp,2533,1200,0.473747
hero,zuus,4030,1909,0.473697
ability,skywrath_mage_arcane_bolt,3680,1743,0.473641
ability,antimage_mana_break,4584,2171,0.473604
ability,kez_shodo_sai_ad,2125,1006,0.473412
hero,shredder,3064,1450,0.473238
ability,tinker_laser,3999,1891,0.472868
hero,enigma,2969,1403,0.472550
ability,nyx_assassin_jolt,4330,2046,0.472517
ability,ancient_apparition_chilling_touch,4497,2124,0.472315
ability,enchantress_enchant,2789,1317,0.472212
hero,dazzle,4261,2012,0.472190
hero,alchemist,4401,2078,0.472165
ability,elder_titan_echo_stomp,1354,639,0.471935
ability,silencer_last_word,3062,1444,0.471587
hero,pangolier,3600,1696,0.471111
hero,witch_doctor,3754,1768,0.470964
ability,puck_dream_coil,4697,2212,0.470939
ability,undying_soul_rip,1795,845,0.470752
ability,shredder_timber_chain,3096,1456,0.470284
ability,pugna_decrepify,3209,1509,0.470240
hero,spectre,3322,1561,0.469898
ability,drow_ranger_marksmanship,4657,2188,0.469830
ability,disruptor_kinetic_field,3117,1464,0.469682
ability,batrider_flamebreak,1220,573,0.469672
ability,primal_beast_onslaught,3141,1475,0.469596
ability,dazzle_poison_touch,4361,2047,0.469388
